id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,data mining,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,excel,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,sap,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,sas,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,spss,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,sql,data analyst
0,Data Analyst,Basel,Switzerland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,47.0,On-site,statistics,data analyst
1,Data Analyst - Logistics,Coventry,United Kingdom,Resolute Recruitment,,,2023-05-16,,On-site,,data analyst
2,Data Analyst - Logistics,Coventry,United Kingdom,Resolute Recruitment,,,2023-05-16,,On-site,wfh,data analyst
3,Data Analyst (Space & Planning),South Molton,United Kingdom,Mole Valley Farmers,,,2023-05-16,,On-site,excel,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,aws,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,data warehouse,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,etl,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,gcp,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,oracle,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,oracle data integrator,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,power bi,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,python,data analyst
4,Data Analyst,Lugano,Switzerland,FORFIRM,,,2023-05-09,,On-site,sql,data analyst
5,Data Analyst - Logistics,Southampton,United Kingdom,"Butler, Bridge & May",,,2023-05-17,,On-site,excel,data analyst
5,Data Analyst - Logistics,Southampton,United Kingdom,"Butler, Bridge & May",,,2023-05-17,,On-site,powerbi,data analyst
5,Data Analyst - Logistics,Southampton,United Kingdom,"Butler, Bridge & May",,,2023-05-17,,On-site,sap,data analyst
6,Data Analyst,Leeds,United Kingdom,Maria Mallaband Care Group Ltd,,,2023-05-02,,On-site,excel,data analyst
6,Data Analyst,Leeds,United Kingdom,Maria Mallaband Care Group Ltd,,,2023-05-02,,On-site,power bi,data analyst
7,Data Analyst,Nuneaton,United Kingdom,Kelly Group,,,2023-05-21,,Hybrid,data mining,data analyst
7,Data Analyst,Nuneaton,United Kingdom,Kelly Group,,,2023-05-21,,Hybrid,excel,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,dataiku,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,nosql,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,powerbi,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,qlikview,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,sql,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,tableau,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,анализ данных,data analyst
8,Data Analyst,Paris,France,eXalt,"501-1,000",IT Services and IT Consulting,2023-05-09,140.0,On-site,визуализация данных,data analyst
9,Data Analyst - Hybrid Working,Cambridge,United Kingdom,Blue Arrow,,,2023-05-09,,On-site,,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,sql,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,ms excel,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,tableau,data analyst
10,Data Analyst,West Midlands,United Kingdom,Mexa Solutions,,,2023-05-02,,On-site,power bi,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,scala,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,sql,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,панель управления,data analyst
11,Commercial Data Analyst,Schiphol,Netherlands,Royal Schiphol Group,"1,001-5,000",Airlines and Aviation,2023-05-16,13.0,On-site,анализ данных,data analyst
12,Asset Data Analyst,Chester,United Kingdom,networx | Recruitment Software & Services by IRIS,,,2023-05-16,,On-site,,data analyst
13,Data Analyst - Hybrid,Cambridge,United Kingdom,Blue Arrow,,,2023-05-09,,On-site,,data analyst
14,Data Analyst,Craven Arms,United Kingdom,networx | Recruitment Software & Services by IRIS,,,2023-05-16,,,excel,data analyst
14,Data Analyst,Craven Arms,United Kingdom,networx | Recruitment Software & Services by IRIS,,,2023-05-16,,,power bi,data analyst
14,Data Analyst,Craven Arms,United Kingdom,networx | Recruitment Software & Services by IRIS,,,2023-05-16,,,sap,data analyst
14,Data Analyst,Craven Arms,United Kingdom,networx | Recruitment Software & Services by IRIS,,,2023-05-16,,,sql,data analyst
15,Data Analyst,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,,,2023-05-16,,Hybrid,powerbi,data analyst
15,Data Analyst,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,,,2023-05-16,,Hybrid,python,data analyst
15,Data Analyst,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,,,2023-05-16,,Hybrid,spotfire,data analyst
15,Data Analyst,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,,,2023-05-16,,Hybrid,sql,data analyst
15,Data Analyst,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,,,2023-05-16,,Hybrid,statistics,data analyst
16,Data Analyst (FT),Belfast,United Kingdom,Black Fox Solutions,11-50,Staffing and Recruiting,2023-05-09,7.0,On-site,spreadsheet,data analyst
17,Data Analyst,Sunderland,United Kingdom,tombola,"501-1,000",IT Services and IT Consulting,2023-05-02,137.0,Hybrid,looker,data analyst
17,Data Analyst,Sunderland,United Kingdom,tombola,"501-1,000",IT Services and IT Consulting,2023-05-02,137.0,Hybrid,oracle,data analyst
17,Data Analyst,Sunderland,United Kingdom,tombola,"501-1,000",IT Services and IT Consulting,2023-05-02,137.0,Hybrid,qlikview,data analyst
17,Data Analyst,Sunderland,United Kingdom,tombola,"501-1,000",IT Services and IT Consulting,2023-05-02,137.0,Hybrid,redshift,data analyst
17,Data Analyst,Sunderland,United Kingdom,tombola,"501-1,000",IT Services and IT Consulting,2023-05-02,137.0,Hybrid,sql,data analyst
17,Data Analyst,Sunderland,United Kingdom,tombola,"501-1,000",IT Services and IT Consulting,2023-05-02,137.0,Hybrid,tableau,data analyst
18,Data Analyst H/F,Montévrain,France,Fives,,,2023-05-16,,On-site,api,data analyst
19,Data Analyst,Bristol,United Kingdom,Babcock,"501-1,000",Airlines and Aviation,2023-05-09,53.0,On-site,power bi,data analyst
19,Data Analyst,Bristol,United Kingdom,Babcock,"501-1,000",Airlines and Aviation,2023-05-09,53.0,On-site,python,data analyst
20,Data Analyst (Space & Planning),South Molton,United Kingdom,networx | Recruitment Software & Services by IRIS,51-200,Staffing and Recruiting,2023-05-17,13.0,On-site,excel,data analyst
21,Data Analyst,Bristol,United Kingdom,Oscar Technology,,,2023-05-22,,On-site,excel,data analyst
21,Data Analyst,Bristol,United Kingdom,Oscar Technology,,,2023-05-22,,On-site,python,data analyst
21,Data Analyst,Bristol,United Kingdom,Oscar Technology,,,2023-05-22,,On-site,sql,data analyst
22,Data Analyst,Solihull,United Kingdom,Mexa Solutions,11-50,Staffing and Recruiting,2023-05-02,7.0,On-site,power bi,data analyst
22,Data Analyst,Solihull,United Kingdom,Mexa Solutions,11-50,Staffing and Recruiting,2023-05-02,7.0,On-site,tableau,data analyst
23,Data Analyst II,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,30.0,On-site,spotfire,data analyst
23,Data Analyst II,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,30.0,On-site,statistics,data analyst
23,Data Analyst II,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,30.0,On-site,data analytics,data analyst
23,Data Analyst II,Dublin,Ireland,PharmiWeb.Jobs: Global Life Science Jobs,11-50,Staffing and Recruiting,2023-05-16,30.0,On-site,компьютерная наука,data analyst
24,Data Analyst (9 Months FTC),Blackpool,United Kingdom,Burton's Biscuit Company,,,2023-05-02,,On-site,,data analyst
25,Business Intelligence Analyst,Cracow,Poland,Getinge,"10,001+",Medical Equipment Manufacturing,2023-05-02,70.0,Hybrid,power bi,business analyst
26,Data Analyst (F/H),Dijon,France,Neos-SDI,51-200,Information Technology & Services,2023-05-16,141.0,Hybrid,power bi,data analyst
26,Data Analyst (F/H),Dijon,France,Neos-SDI,51-200,Information Technology & Services,2023-05-16,141.0,Hybrid,sql,data analyst
26,Data Analyst (F/H),Dijon,France,Neos-SDI,51-200,Information Technology & Services,2023-05-16,141.0,Hybrid,ssrs,data analyst
26,Data Analyst (F/H),Dijon,France,Neos-SDI,51-200,Information Technology & Services,2023-05-16,141.0,Hybrid,услуги анализа,data analyst
27,BI Analyst,Alsónémedi,Hungary,GLS,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,36.0,Hybrid,power bi,analyst
27,BI Analyst,Alsónémedi,Hungary,GLS,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,36.0,Hybrid,tableau,analyst
27,BI Analyst,Alsónémedi,Hungary,GLS,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,36.0,Hybrid,sql,analyst
27,BI Analyst,Alsónémedi,Hungary,GLS,"10,001+","Transportation, Logistics, Supply Chain and Storage",2023-05-16,36.0,Hybrid,анализ бизнес-данных,analyst
28,Business Intelligence Analyst,Dublin,Ireland,ARI,"1,001-5,000",Airlines and Aviation,2023-05-09,360.0,Hybrid,excel,business analyst
28,Business Intelligence Analyst,Dublin,Ireland,ARI,"1,001-5,000",Airlines and Aviation,2023-05-09,360.0,Hybrid,targit,business analyst
28,Business Intelligence Analyst,Dublin,Ireland,ARI,"1,001-5,000",Airlines and Aviation,2023-05-09,360.0,Hybrid,аналитические навыки,business analyst
28,Business Intelligence Analyst,Dublin,Ireland,ARI,"1,001-5,000",Airlines and Aviation,2023-05-09,360.0,Hybrid,powerpoint,business analyst
29,Data Analyst,Manchester,United Kingdom,Axon Moore,51-200,Staffing and Recruiting,2023-05-02,81.0,On-site,excel,data analyst
29,Data Analyst,Manchester,United Kingdom,Axon Moore,51-200,Staffing and Recruiting,2023-05-02,81.0,On-site,python,data analyst
29,Data Analyst,Manchester,United Kingdom,Axon Moore,51-200,Staffing and Recruiting,2023-05-02,81.0,On-site,sql,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,api,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,excel,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,powerbi,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,python,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,sas,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,statistics,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,анализ данных,data analyst
30,Data Analyst Associate,Elliniko-Argyroupoli,Greece,LAMDA Development S.A.,"501-1,000",Real Estate,2023-05-16,125.0,On-site,аналитические навыки,data analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,datastage,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,informatica,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,power bi,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,sql,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,tableau,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,talend,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,etl tools,business analyst
31,Business Intelligence Analyst,,Italy,Nexi Digital,51-200,Financial Services,2023-05-09,225.0,Remote,английский язык,business analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,a/b testing,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,bigquery,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,gcp,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,google cloud platform,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,jupyter,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,looker,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,pandas,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,python,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,sql,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,statistics,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,статистическое моделирование,data analyst
32,Product Data Analyst,Umeå,Sweden,Storytel,"501-1,000",Entertainment Providers,2023-05-09,40.0,Hybrid,моделирование данных,data analyst
33,Data Analyst,North Holland,Netherlands,funda,51-200,Software Development,2023-05-19,104.0,Hybrid,bigquery,data analyst
33,Data Analyst,North Holland,Netherlands,funda,51-200,Software Development,2023-05-19,104.0,Hybrid,data studio,data analyst
33,Data Analyst,North Holland,Netherlands,funda,51-200,Software Development,2023-05-19,104.0,Hybrid,dbt,data analyst
33,Data Analyst,North Holland,Netherlands,funda,51-200,Software Development,2023-05-19,104.0,Hybrid,segment,data analyst
33,Data Analyst,North Holland,Netherlands,funda,51-200,Software Development,2023-05-19,104.0,Hybrid,python,data analyst
33,Data Analyst,North Holland,Netherlands,funda,51-200,Software Development,2023-05-19,104.0,Hybrid,sql,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,data studio,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,excel,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,google analytics,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,google tag manager,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,power bi,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,python,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,sql,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,statistics,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,визуализация данных,data analyst
34,Data Analyst,Vilnius,Lithuania,Havas Group Lithuania,51-200,Marketing & Advertising,2023-05-16,98.0,Hybrid,tableau,data analyst
35,Graduate Data Analyst,Durham,United Kingdom,The Digital Dance Academy,1-10,"Technology, Information and Internet",2023-05-16,19.0,On-site,,data analyst
36,Digital Data Analyst,Oudenaarde,Belgium,Samsonite,"1,001-5,000",Manufacturing,2023-05-09,110.0,On-site,big query,data analyst
36,Digital Data Analyst,Oudenaarde,Belgium,Samsonite,"1,001-5,000",Manufacturing,2023-05-09,110.0,On-site,excel,data analyst
36,Digital Data Analyst,Oudenaarde,Belgium,Samsonite,"1,001-5,000",Manufacturing,2023-05-09,110.0,On-site,powerpoint,data analyst
36,Digital Data Analyst,Oudenaarde,Belgium,Samsonite,"1,001-5,000",Manufacturing,2023-05-09,110.0,On-site,salesforce,data analyst
36,Digital Data Analyst,Oudenaarde,Belgium,Samsonite,"1,001-5,000",Manufacturing,2023-05-09,110.0,On-site,google analytics,data analyst
36,Digital Data Analyst,Oudenaarde,Belgium,Samsonite,"1,001-5,000",Manufacturing,2023-05-09,110.0,On-site,анализ данных,data analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid, ai,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,dashboard,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,etl,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,informatica,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,looker,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,python,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,tableau,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,sql,business analyst
37,Business Intelligence Analyst Junior,Milan,Italy,Randstad Technologies Italia,"1,001-5,000",Human Resources,2023-05-22,91.0,Hybrid,анализ данных,business analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid, ai,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,powerbi,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,python,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid, r ,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,sql,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,statistics,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,tableau,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,google data studio,data analyst
38,Data Analyst,Stockholm,Sweden,Truecaller,201-500,"Technology, Information and Internet",2023-05-02,210.0,Hybrid,looker (software),data analyst
39,Data Analyst,Luxembourg,Luxembourg,BCEE,"1,001-5,000",Banking,2023-05-22,73.0,On-site,sql,data analyst
39,Data Analyst,Luxembourg,Luxembourg,BCEE,"1,001-5,000",Banking,2023-05-22,73.0,On-site,business analysis,data analyst
39,Data Analyst,Luxembourg,Luxembourg,BCEE,"1,001-5,000",Banking,2023-05-22,73.0,On-site,microsoft excel,data analyst
40,Data analyst H/F,Roubaix,France,Credit Agricole Consumer Finance,"5,001-10,000",Banking,2023-05-02,175.0,On-site,python,data analyst
40,Data analyst H/F,Roubaix,France,Credit Agricole Consumer Finance,"5,001-10,000",Banking,2023-05-02,175.0,On-site,spark,data analyst
40,Data analyst H/F,Roubaix,France,Credit Agricole Consumer Finance,"5,001-10,000",Banking,2023-05-02,175.0,On-site,командная работа,data analyst
40,Data analyst H/F,Roubaix,France,Credit Agricole Consumer Finance,"5,001-10,000",Banking,2023-05-02,175.0,On-site,аналитические навыки,data analyst
41,Data Analyst (m/f/d),Munich,Germany,LOOPING GROUP,201-500,Advertising Services,2023-05-02,56.0,On-site,adobe analytics,data analyst
41,Data Analyst (m/f/d),Munich,Germany,LOOPING GROUP,201-500,Advertising Services,2023-05-02,56.0,On-site,power bi,data analyst
41,Data Analyst (m/f/d),Munich,Germany,LOOPING GROUP,201-500,Advertising Services,2023-05-02,56.0,On-site,python,data analyst
41,Data Analyst (m/f/d),Munich,Germany,LOOPING GROUP,201-500,Advertising Services,2023-05-02,56.0,On-site,tableau,data analyst
41,Data Analyst (m/f/d),Munich,Germany,LOOPING GROUP,201-500,Advertising Services,2023-05-02,56.0,On-site,немецкий язык,data analyst
42,Data Analyst,Milan,Italy,Withub,51-200,Public Relations and Communications Services,2023-05-09,190.0,On-site, ai,data analyst
42,Data Analyst,Milan,Italy,Withub,51-200,Public Relations and Communications Services,2023-05-09,190.0,On-site,анализ данных,data analyst
42,Data Analyst,Milan,Italy,Withub,51-200,Public Relations and Communications Services,2023-05-09,190.0,On-site,визуализация данных,data analyst
43,Data Analyst,Zaventem,Belgium,DS Smith,"10,001+",Packaging and Containers Manufacturing,2023-04-25,111.0,Hybrid,cognos,data analyst
43,Data Analyst,Zaventem,Belgium,DS Smith,"10,001+",Packaging and Containers Manufacturing,2023-04-25,111.0,Hybrid,etl,data analyst
43,Data Analyst,Zaventem,Belgium,DS Smith,"10,001+",Packaging and Containers Manufacturing,2023-04-25,111.0,Hybrid,power bi,data analyst
43,Data Analyst,Zaventem,Belgium,DS Smith,"10,001+",Packaging and Containers Manufacturing,2023-04-25,111.0,Hybrid,powerbi,data analyst
43,Data Analyst,Zaventem,Belgium,DS Smith,"10,001+",Packaging and Containers Manufacturing,2023-04-25,111.0,Hybrid,анализ данных,data analyst
43,Data Analyst,Zaventem,Belgium,DS Smith,"10,001+",Packaging and Containers Manufacturing,2023-04-25,111.0,Hybrid,английский язык,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,etl,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,excel,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,power bi,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,python,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,sql,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,statistics,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,ad hoc analysis,data analyst
44,Data Analyst,Milan,Italy,SPIN 360,11-50,Management Consulting,2023-05-09,196.0,Hybrid,анализ данных,data analyst
45,Data Analyst,Brussels,Belgium,Nexeo,201-500,IT Services and IT Consulting,2023-05-16,244.0,Hybrid,jira,data analyst
45,Data Analyst,Brussels,Belgium,Nexeo,201-500,IT Services and IT Consulting,2023-05-16,244.0,Hybrid,sql,data analyst
45,Data Analyst,Brussels,Belgium,Nexeo,201-500,IT Services and IT Consulting,2023-05-16,244.0,Hybrid,английский язык,data analyst
45,Data Analyst,Brussels,Belgium,Nexeo,201-500,IT Services and IT Consulting,2023-05-16,244.0,Hybrid,анализ данных,data analyst
46,BI Analyst,,Portugal,Devoteam,"5,001-10,000",Information Technology & Services,2023-05-19,88.0,Remote,domo,analyst
46,BI Analyst,,Portugal,Devoteam,"5,001-10,000",Information Technology & Services,2023-05-19,88.0,Remote,excel,analyst
46,BI Analyst,,Portugal,Devoteam,"5,001-10,000",Information Technology & Services,2023-05-19,88.0,Remote,sas,analyst
46,BI Analyst,,Portugal,Devoteam,"5,001-10,000",Information Technology & Services,2023-05-19,88.0,Remote,sql,analyst
46,BI Analyst,,Portugal,Devoteam,"5,001-10,000",Information Technology & Services,2023-05-19,88.0,Remote,microsoft office,analyst
46,BI Analyst,,Portugal,Devoteam,"5,001-10,000",Information Technology & Services,2023-05-19,88.0,Remote,аналитические навыки,analyst
47,Data Analyst,West Malling,United Kingdom,Trooli,51-200,Telecommunications,2023-05-16,28.0,On-site,excel,data analyst
47,Data Analyst,West Malling,United Kingdom,Trooli,51-200,Telecommunications,2023-05-16,28.0,On-site,power bi,data analyst
47,Data Analyst,West Malling,United Kingdom,Trooli,51-200,Telecommunications,2023-05-16,28.0,On-site,salesforce,data analyst
47,Data Analyst,West Malling,United Kingdom,Trooli,51-200,Telecommunications,2023-05-16,28.0,On-site,sql,data analyst
48,Data Analyst,Paris,France,Echo Analytics,11-50,"Technology, Information and Internet",2023-05-16,355.0,Hybrid,airflow,data analyst
48,Data Analyst,Paris,France,Echo Analytics,11-50,"Technology, Information and Internet",2023-05-16,355.0,Hybrid,bigquery,data analyst
48,Data Analyst,Paris,France,Echo Analytics,11-50,"Technology, Information and Internet",2023-05-16,355.0,Hybrid,ci/cd,data analyst
48,Data Analyst,Paris,France,Echo Analytics,11-50,"Technology, Information and Internet",2023-05-16,355.0,Hybrid,dataflow,data analyst
