id,title,city,country,company,size_of_company,company_field,date_of_publication,number_of_applicants,type_of_employment,skills,vacancy
481,Accountant,Stockholm,Sweden,HansaWorld,201-500,Computer Software,2023-05-16,146.0,Remote,английский язык,другое
481,Accountant,Stockholm,Sweden,HansaWorld,201-500,Computer Software,2023-05-16,146.0,Remote,бухгалтерский учёт,другое
482,Online Data Analyst,Hereford,United Kingdom,TELUS International AI Data Solutions,"10,001+",IT Services and IT Consulting,2023-05-16,25.0,Remote, ai,data analyst
483,Mitarbeiter Marketing B2B (m/w/d),Munich,Germany,Simovative,51-200,Information Technology & Services,2023-05-16,32.0,Hybrid,sql,другое
483,Mitarbeiter Marketing B2B (m/w/d),Munich,Germany,Simovative,51-200,Information Technology & Services,2023-05-16,32.0,Hybrid,внедрение проектов,другое
483,Mitarbeiter Marketing B2B (m/w/d),Munich,Germany,Simovative,51-200,Information Technology & Services,2023-05-16,32.0,Hybrid,управление проектами,другое
484,Chargé de projets Sustainability F/H en apprentissage,Erstein,France,WURTH INDUSTRIE FRANCE,51-200,Wholesale,2023-05-09,54.0,On-site,экологическая сбалансированность,другое
484,Chargé de projets Sustainability F/H en apprentissage,Erstein,France,WURTH INDUSTRIE FRANCE,51-200,Wholesale,2023-05-09,54.0,On-site,корпоративная социальная ответственность,другое
485,Test Engineer,Szombathely,Hungary,Ivy Technology,"1,001-5,000",Computer Hardware,2023-05-18,13.0,On-site,цифровые коммуникации,другое
485,Test Engineer,Szombathely,Hungary,Ivy Technology,"1,001-5,000",Computer Hardware,2023-05-18,13.0,On-site,компьютерная наука,другое
486,Systemutvecklare,Ronneby,Sweden,NovaCast Systems,11-50,Mechanical Or Industrial Engineering,2023-05-16,16.0,On-site, ai,другое
486,Systemutvecklare,Ronneby,Sweden,NovaCast Systems,11-50,Mechanical Or Industrial Engineering,2023-05-16,16.0,On-site,java,другое
486,Systemutvecklare,Ronneby,Sweden,NovaCast Systems,11-50,Mechanical Or Industrial Engineering,2023-05-16,16.0,On-site,postgresql,другое
486,Systemutvecklare,Ronneby,Sweden,NovaCast Systems,11-50,Mechanical Or Industrial Engineering,2023-05-16,16.0,On-site,sql,другое
486,Systemutvecklare,Ronneby,Sweden,NovaCast Systems,11-50,Mechanical Or Industrial Engineering,2023-05-16,16.0,On-site,swift (programming language),другое
486,Systemutvecklare,Ronneby,Sweden,NovaCast Systems,11-50,Mechanical Or Industrial Engineering,2023-05-16,16.0,On-site,.net framework,другое
487,IT-Spezialist (m/w/d),Elmshorn,Germany,Teppich-Kibek,"501-1,000",Retail,2023-05-16,8.0,Hybrid,powerbi,другое
