,target
108,0.4583333333333333
109,0.42857142857142855
110,0.2159090909090909
111,0.7777777777777778
112,0.011695906432748537
113,0.07236842105263158
114,0.46153846153846156
115,0.3695652173913043
116,0.5
117,0.5333333333333333
118,0.4594594594594595
119,0.2
120,0.07142857142857142
121,0.3125
122,0.16666666666666666
123,1.0
124,0.3333333333333333
125,0.22
126,0.08163265306122448
127,0.5
128,0.5238095238095238
129,0.3333333333333333
130,0.1111111111111111
131,0.23595505617977527
132,0.14705882352941177
133,0.375
134,0.5555555555555556
135,0.7142857142857143
136,0.38461538461538464
137,0.2
138,0.25
139,0.08287292817679558
140,0.15151515151515152
141,0.2542372881355932
142,0.8
143,0.030303030303030304
144,0.11627906976744186
145,0.48214285714285715
146,0.25
147,0.09090909090909091
148,0.4375
149,0.1111111111111111
150,0.5576923076923077
151,0.2653061224489796
152,0.5294117647058824
153,0.2
154,0.30434782608695654
155,0.08333333333333333
156,1.0
157,0.32
158,0.1595744680851064
159,0.056338028169014086
160,0.13043478260869565
161,0.12195121951219512
162,0.6875
163,0.5357142857142857
164,0.2
165,0.5
166,0.3
167,0.1724137931034483
168,0.5714285714285714
169,0.4186046511627907
170,0.08163265306122448
171,0.06779661016949153
172,0.38461538461538464
173,0.025423728813559324
174,0.625
175,0.39285714285714285
176,0.14814814814814814
177,0.3333333333333333
178,0.14285714285714285
179,0.2727272727272727
180,0.375
181,0.4
182,0.14285714285714285
183,0.3076923076923077
184,1.0
185,0.11538461538461539
186,0.1875
187,0.4878048780487805
188,0.10714285714285714
189,0.23076923076923078
190,0.12307692307692308
191,0.4716981132075472
192,1.0
193,0.25
194,0.13725490196078433
195,0.25
196,0.15151515151515152
197,0.47058823529411764
198,0.3787878787878788
199,0.25
200,0.625
201,0.25
202,0.0967741935483871
203,0.21428571428571427
204,0.22058823529411764
205,0.2571428571428571
206,1.0
207,0.23076923076923078
208,0.6136363636363636
209,0.2916666666666667
210,0.21428571428571427
211,0.2727272727272727
212,0.10714285714285714
213,0.3333333333333333
214,0.023255813953488372
215,0.3684210526315789
216,0.23076923076923078
217,0.6666666666666666
218,0.2857142857142857
219,0.24242424242424243
220,0.10833333333333334
221,0.5
222,0.7307692307692307
223,0.24
224,0.4426229508196721
225,0.05813953488372093
226,0.2
227,0.15517241379310345
228,0.7368421052631579
229,0.16393442622950818
230,0.44285714285714284
231,0.625
232,0.5333333333333333
233,0.273972602739726
234,0.2727272727272727
235,0.3023255813953488
236,0.32558139534883723
237,0.5714285714285714
238,0.16666666666666666
239,0.5223880597014925
240,0.08333333333333333
241,0.23076923076923078
242,0.4307692307692308
243,0.5714285714285714
244,0.26
245,0.4835164835164835
246,0.011111111111111112
247,0.25
248,0.09090909090909091
249,0.11428571428571428
250,0.234375
251,0.4583333333333333
252,0.0625
253,0.012658227848101266
254,0.19444444444444445
255,1.0
256,0.5
257,0.2159090909090909
258,0.22727272727272727
259,0.2
260,0.28125
261,0.4375
262,0.6226415094339622
263,0.23333333333333334
264,0.5833333333333334
265,0.3333333333333333
266,0.5
267,0.3157894736842105
268,0.42857142857142855
269,0.5102040816326531
270,0.5
271,0.14285714285714285
272,0.25
273,0.6129032258064516
274,0.5454545454545454
275,0.19
276,0.10465116279069768
277,0.25
278,0.2702702702702703
279,0.015748031496062992
280,0.2857142857142857
281,0.6410256410256411
282,0.8035714285714286
283,0.18518518518518517
284,0.125
285,0.3111111111111111
286,0.2485207100591716
287,0.2222222222222222
288,0.15217391304347827
289,0.37254901960784315
290,0.012048192771084338
291,0.5217391304347826
292,0.48717948717948717
293,0.5416666666666666
294,0.3333333333333333
295,0.6428571428571429
296,0.12903225806451613
297,0.625
298,0.24561403508771928
299,1.0
300,0.6363636363636364
301,0.2
302,0.20588235294117646
303,0.42857142857142855
304,0.23076923076923078
305,0.4444444444444444
306,0.4166666666666667
307,0.35714285714285715
308,0.16666666666666666
309,0.08333333333333333
310,0.2608695652173913
311,0.4594594594594595
312,1.0
313,0.375
314,0.3333333333333333
315,0.16666666666666666
316,0.13559322033898305
317,0.36363636363636365
318,0.1640378548895899
319,0.4444444444444444
320,0.11764705882352941
321,0.32142857142857145
322,0.06451612903225806
323,0.046296296296296294
324,0.2571428571428571
325,0.3
326,0.2
327,0.3269230769230769
328,0.3170731707317073
329,0.3888888888888889
330,0.34782608695652173
331,0.5652173913043478
332,0.06666666666666667
333,0.45161290322580644
334,0.42857142857142855
335,0.29411764705882354
336,0.21052631578947367
337,0.2608695652173913
338,0.2
339,0.23333333333333334
340,0.2972972972972973
341,0.06451612903225806
342,0.5
343,0.16666666666666666
344,0.15384615384615385
345,0.14583333333333334
346,0.2727272727272727
347,0.2
348,0.22580645161290322
349,0.39215686274509803
350,0.26
351,0.21739130434782608
352,0.75
353,0.23809523809523808
354,0.6111111111111112
355,0.0547945205479452
356,0.2727272727272727
357,0.48717948717948717
358,0.3125
359,1.0
360,0.2
361,0.03225806451612903
362,0.2857142857142857
363,0.25
364,0.2608695652173913
365,0.14285714285714285
366,0.11538461538461539
367,0.40350877192982454
368,0.07339449541284404
369,0.32142857142857145
370,0.2698412698412698
371,0.3333333333333333
372,0.34375
373,0.4186046511627907
374,0.03773584905660377
375,0.5128205128205128
376,0.3888888888888889
377,0.13333333333333333
378,0.3333333333333333
379,0.049019607843137254
380,0.6923076923076923
381,0.3333333333333333
382,0.4523809523809524
383,0.4594594594594595
384,0.3695652173913043
385,0.4
386,0.3
387,0.47368421052631576
388,0.15151515151515152
389,0.7380952380952381
390,0.4
391,0.4117647058823529
392,0.2
393,0.36
394,0.1111111111111111
395,0.38095238095238093
396,0.20689655172413793
397,0.07142857142857142
398,0.5
399,0.7428571428571429
400,0.1
401,0.5769230769230769
402,0.19402985074626866
403,0.3170731707317073
404,0.014492753623188406
405,0.3333333333333333
406,0.3333333333333333
407,0.22857142857142856
408,0.1
409,0.42857142857142855
410,0.6219512195121951
411,0.13333333333333333
412,0.16071428571428573
413,0.13953488372093023
414,0.37142857142857144
415,0.5428571428571428
416,0.10185185185185185
417,0.01818181818181818
418,0.36363636363636365
419,0.3
420,0.2826086956521739
421,0.43478260869565216
422,0.16363636363636364
423,0.5
424,0.6229508196721312
425,0.34782608695652173
426,0.2653061224489796
