,target
286,0.32432432432432434
287,0.06666666666666667
288,0.16494845360824742
289,0.35294117647058826
290,0.1346153846153846
291,0.5357142857142857
292,0.32
293,0.2608695652173913
294,0.2653061224489796
295,0.2972972972972973
296,0.2
297,0.1111111111111111
298,0.25
299,0.5081967213114754
300,0.5238095238095238
301,0.5128205128205128
302,0.3157894736842105
303,0.42105263157894735
304,0.11428571428571428
305,0.2727272727272727
306,0.16393442622950818
307,0.2857142857142857
308,0.24242424242424243
309,0.5633802816901409
310,0.16129032258064516
311,1.0
312,0.15151515151515152
313,0.3023255813953488
314,0.6
315,0.68
316,0.14705882352941177
317,0.07894736842105263
318,0.7
319,0.2857142857142857
320,0.3333333333333333
321,0.75
322,0.20588235294117646
323,1.0
324,0.6666666666666666
325,0.5217391304347826
326,0.5
327,0.35714285714285715
328,0.22388059701492538
329,0.35294117647058826
330,0.2916666666666667
331,0.16666666666666666
332,0.10256410256410256
333,0.75
334,0.5576923076923077
335,0.3870967741935484
336,0.7142857142857143
337,0.2857142857142857
338,0.4
339,1.0
340,0.4444444444444444
341,0.11764705882352941
342,0.631578947368421
343,0.10833333333333334
344,0.19708029197080293
345,0.34782608695652173
346,0.06818181818181818
347,0.16853932584269662
348,0.07692307692307693
349,0.1640378548895899
350,0.25
351,0.2702702702702703
352,0.5384615384615384
353,0.1
354,0.6086956521739131
355,0.07894736842105263
356,0.21052631578947367
357,0.6
358,0.45454545454545453
359,0.75
360,0.2222222222222222
361,0.06666666666666667
362,0.5428571428571428
363,0.6666666666666666
364,0.18840579710144928
365,0.6666666666666666
366,0.3076923076923077
367,0.4117647058823529
368,0.2485207100591716
369,0.6
370,0.3793103448275862
371,0.2571428571428571
372,0.3333333333333333
373,0.3220338983050847
374,0.5
375,0.21875
376,0.654320987654321
377,0.2222222222222222
378,1.0
379,0.7777777777777778
380,0.020833333333333332
381,0.3684210526315789
382,0.16216216216216217
383,0.36363636363636365
384,0.2
385,0.09090909090909091
386,0.39215686274509803
387,0.07692307692307693
388,0.25
389,0.43
390,0.15151515151515152
391,0.3
392,0.08333333333333333
393,0.2826086956521739
394,0.18604651162790697
395,0.13333333333333333
396,0.07692307692307693
397,0.14814814814814814
398,0.5609756097560976
399,0.46153846153846156
400,0.26666666666666666
401,0.26
402,0.08333333333333333
403,0.1111111111111111
404,0.23529411764705882
405,0.35714285714285715
406,0.5
407,0.014084507042253521
408,0.03225806451612903
409,0.36
410,0.14285714285714285
411,0.3333333333333333
412,0.33962264150943394
413,0.3103448275862069
414,0.11764705882352941
415,0.12121212121212122
416,0.4745762711864407
417,0.42857142857142855
418,0.4166666666666667
419,0.45977011494252873
420,0.5454545454545454
421,0.125
422,0.18181818181818182
423,0.125
424,0.01818181818181818
425,0.06451612903225806
426,0.030303030303030304
427,0.5
428,0.2
429,0.4186046511627907
430,0.2077922077922078
431,0.02247191011235955
432,0.043478260869565216
433,0.12307692307692308
434,0.3958333333333333
435,0.18181818181818182
436,0.5
437,0.28
438,0.5384615384615384
439,0.030303030303030304
440,1.0
441,0.16
442,0.273972602739726
443,0.23809523809523808
444,0.4166666666666667
445,0.07692307692307693
446,0.3333333333333333
447,0.38461538461538464
448,0.4594594594594595
449,0.6666666666666666
450,0.42105263157894735
451,0.18181818181818182
452,0.3023255813953488
453,0.1891891891891892
454,0.3076923076923077
455,0.47058823529411764
456,0.4878048780487805
457,0.38636363636363635
458,0.1794871794871795
459,0.27450980392156865
460,0.03571428571428571
461,0.48717948717948717
462,0.3582089552238806
463,0.7241379310344828
464,0.4444444444444444
465,0.05263157894736842
466,0.375
467,0.5833333333333334
468,0.6578947368421053
469,0.38095238095238093
470,0.3142857142857143
471,0.16666666666666666
472,0.5714285714285714
473,0.17073170731707318
474,0.64
475,1.0
476,0.6363636363636364
477,0.45714285714285713
478,0.7272727272727273
479,1.0
480,0.12121212121212122
481,0.2
